TIME,DRQL+GameFeatures
0.3025,0.279
0.45361111111111113,0.397
0.6083333333333333,0.701
0.7630555555555556,0.626
0.9141666666666667,0.688
1.0663888888888888,0.763
1.2175,0.57
1.3683333333333334,0.58
1.518888888888889,0.736
1.6730555555555555,0.686
1.8244444444444445,0.688
1.9758333333333333,0.873
2.1319444444444446,0.986
2.285277777777778,0.902
2.4363888888888887,0.923
2.5880555555555556,1.28
2.7380555555555555,1.028
2.8891666666666667,1.043
3.0425,0.911
3.191666666666667,0.818
3.343888888888889,0.822
3.4988888888888887,1.299
3.6508333333333334,1.122
3.8019444444444446,0.859
3.9530555555555558,0.943
4.111111111111111,0.805
4.2675,0.938
4.418888888888889,0.803
4.57,1.111
4.7219444444444445,1.04
4.873888888888889,0.915
5.026111111111111,0.81
5.176944444444445,0.944
5.326388888888889,1.192
5.483055555555556,0.821
5.638888888888889,0.924
5.790555555555556,1.407
5.941388888888889,0.865
6.092222222222222,1.264
6.246111111111111,0.965
6.400833333333333,0.845
6.552222222222222,1.06
6.703888888888889,1.028
6.855,1.054
7.008611111111111,1.143
7.1594444444444445,1.094
7.310833333333333,1.101
7.4625,0.889
7.613888888888889,0.916
7.764166666666667,1.025
7.918888888888889,1.0
8.075555555555555,0.864
8.226111111111111,1.028
8.377222222222223,1.038
8.529166666666667,1.076
8.680555555555555,0.778
8.838888888888889,1.333
8.991944444444444,1.045
9.144166666666667,1.22
9.295555555555556,1.179
9.452777777777778,1.029
9.608888888888888,0.973
9.759722222222223,1.169
9.911388888888888,1.215
10.064166666666667,1.0
10.215833333333334,1.242
10.369166666666667,0.968
10.524166666666666,1.04
10.6825,1.029
10.835833333333333,0.877
10.988055555555556,1.076
11.140277777777778,0.921
11.293333333333333,1.028
11.446944444444444,0.966
11.598888888888888,1.044
11.750833333333333,0.848
11.903888888888888,1.0
12.055833333333334,0.75
12.208055555555555,1.077
12.36888888888889,0.951
12.520277777777778,1.09
12.674444444444445,0.939
12.824722222222222,1.3
12.976944444444445,0.818
13.129444444444445,1.1
13.282777777777778,0.985
13.436666666666667,0.945
13.590277777777779,1.029
13.743055555555555,1.231
13.895833333333334,1.229
14.047222222222222,1.068
14.202222222222222,1.246
14.353055555555555,1.085
14.50388888888889,1.296
14.654444444444444,0.915
14.805833333333334,1.138
14.957777777777778,1.175
15.110555555555555,1.197
15.262777777777778,1.147
15.414444444444445,1.06
15.56638888888889,1.062
15.718333333333334,1.122
15.870555555555555,1.136
16.022777777777776,1.111
16.181944444444444,1.338
16.34027777777778,1.101
16.491944444444446,1.127
16.643055555555556,1.45
16.794444444444444,1.275
16.94638888888889,1.169
17.1,1.149
17.253888888888888,0.969
17.41,0.833
17.568055555555556,1.085
17.72111111111111,1.123
17.871944444444445,1.241
18.0225,0.985
18.174444444444443,1.262
18.325277777777778,1.183
18.476111111111113,1.172
18.626944444444444,1.086
18.77861111111111,1.027
18.92888888888889,1.25
19.080277777777777,0.97
19.2325,1.275
19.38388888888889,0.891
19.540277777777778,1.169
19.691944444444445,1.19
19.841944444444444,1.15
19.995,1.116
20.15361111111111,1.179
20.30472222222222,1.321
20.455277777777777,1.413
20.606666666666666,1.22
20.760833333333334,1.393
20.911666666666665,1.203
21.06222222222222,1.043
21.21361111111111,1.13
21.36638888888889,1.475
21.52027777777778,0.938
21.67388888888889,0.947
21.825,0.795
21.97888888888889,0.973
22.130277777777778,0.921
22.29,1.167
22.44388888888889,1.095
22.596944444444443,1.296
22.74888888888889,1.127
22.905,1.04
23.066111111111113,1.221
23.22277777777778,1.206
23.374166666666667,1.036
23.529444444444444,1.28
23.686666666666667,1.31
23.838055555555556,1.116
23.989722222222223,1.052
24.1425,1.176
24.29361111111111,1.027
24.44527777777778,1.322
24.5975,1.167
24.74972222222222,1.293
24.90222222222222,1.246
25.055,1.087
25.206666666666667,1.284
25.358055555555556,1.066
25.509444444444444,1.111
25.66138888888889,1.145
25.813333333333333,1.211
25.96472222222222,0.962
26.116666666666667,1.099
26.270555555555557,1.029
26.42361111111111,1.093
26.575,1.13
26.727777777777778,1.014
26.88138888888889,1.116
27.03472222222222,1.333
27.186944444444446,0.933
27.337222222222223,1.127
27.489166666666666,1.365
27.640833333333333,1.069
27.793055555555554,1.167
27.944444444444443,1.246
28.1025,1.349
28.258055555555554,1.0
28.41027777777778,1.418
28.565833333333334,1.262
28.720555555555556,1.049
28.871944444444445,1.167
29.024444444444445,1.077
29.177222222222223,1.155
29.3275,1.143
29.47833333333333,1.192
29.629444444444445,0.987
29.780833333333334,1.254
29.933055555555555,1.333
30.09138888888889,1.0
30.245555555555555,1.22
30.404444444444444,1.203
30.565277777777776,1.41
30.72,1.35
30.870833333333334,1.148
31.025,1.234
31.182222222222222,1.127
31.333055555555557,1.103
31.48611111111111,1.219
31.639444444444443,1.032
31.79277777777778,1.032
31.94472222222222,1.255
32.09583333333333,1.328
32.24777777777778,1.115
32.400555555555556,1.231
32.5525,1.544
32.70444444444445,1.016
32.85611111111111,1.393
33.01,1.078
33.16222222222222,1.237
33.31388888888889,1.149
33.466388888888886,1.052
33.62083333333333,1.103
33.77361111111111,1.077
33.92444444444445,0.97
34.08111111111111,1.174
34.235277777777775,1.073
34.389722222222225,1.172
34.54638888888889,1.24
34.70305555555556,1.379
34.85666666666667,1.106
35.01027777777778,1.288
35.16222222222222,1.265
35.312777777777775,1.258
35.4725,1.418
35.623333333333335,1.063
35.776666666666664,1.092
35.92888888888889,1.5
36.07972222222222,1.315
36.23166666666667,1.097
36.384166666666665,1.353
36.53722222222222,1.472
36.69027777777778,1.278
36.841944444444444,1.238
36.99638888888889,1.258
37.15555555555556,1.22
37.30916666666667,1.491
37.46361111111111,1.347
37.628055555555555,1.203
37.78916666666667,1.014
37.940555555555555,1.095
38.091388888888886,1.029
38.248333333333335,1.129
38.4025,1.438
38.55305555555555,1.178
38.70361111111111,1.097
38.85666666666667,1.211
39.01611111111111,1.258
39.17027777777778,1.189
39.32194444444445,1.141
39.48111111111111,0.984
39.640277777777776,1.464
39.79361111111111,1.134
39.945,1.39
40.09777777777778,1.158
40.249722222222225,1.324
40.400555555555556,1.194
40.55138888888889,1.232
40.70805555555555,1.217
40.865,1.407
41.01555555555556,1.222
41.166111111111114,1.302
41.31916666666667,1.234
41.47027777777778,1.033
41.62138888888889,1.276
41.772777777777776,1.278
41.92916666666667,1.263
42.08416666666667,1.2
42.236111111111114,1.574
42.38722222222222,1.082
42.53861111111111,1.172
42.690555555555555,1.074
42.843333333333334,1.129
42.99388888888889,1.139
43.14527777777778,1.078
43.297222222222224,1.323
43.4475,1.356
43.60111111111111,0.972
43.75333333333333,1.19
43.903333333333336,1.246
44.05416666666667,1.031
44.20777777777778,1.397
44.35944444444444,1.109
44.51166666666666,1.016
44.663333333333334,1.246
44.81361111111111,1.38
44.96388888888889,1.295
45.11638888888889,1.188
