TIME,DQN
0.18833333333333332,0.383
0.2363888888888889,0.442
0.285,0.266
0.3333333333333333,0.538
0.3819444444444444,0.353
0.43083333333333335,0.424
0.4797222222222222,0.351
0.5288888888888889,0.458
0.5780555555555555,0.201
0.6272222222222222,0.45
0.6769444444444445,0.635
0.7263888888888889,0.48
0.7775,0.284
0.8291666666666667,0.4
0.8816666666666667,0.337
0.9319444444444445,0.098
0.9813888888888889,0.057
1.0308333333333333,0.305
1.0811111111111111,0.73
1.131388888888889,0.537
1.1819444444444445,0.016
1.2325,0.007
1.2838888888888889,0.282
1.3352777777777778,0.496
1.3875,0.365
1.4394444444444445,0.097
1.4913888888888889,0.584
1.543611111111111,0.246
1.5952777777777778,0.088
1.646111111111111,1.217
1.6983333333333333,0.153
1.7502777777777778,0.188
1.805,0.0
1.8594444444444445,0.736
1.9130555555555555,0.106
1.9652777777777777,0.728
2.0175,0.014
2.069722222222222,0.031
2.1225,1.059
2.175,0.062
2.2283333333333335,0.07
2.2841666666666667,0.097
2.339722222222222,0.438
2.3961111111111113,0.706
2.4525,0.0
2.5083333333333333,0.359
2.5644444444444443,0.131
2.618333333333333,0.469
2.671666666666667,0.014
2.726111111111111,0.006
2.7830555555555554,0.41
2.8402777777777777,0.243
2.8983333333333334,0.311
2.955277777777778,0.297
3.0125,0.35
3.069722222222222,0.663
3.1238888888888887,0.061
3.1780555555555554,0.0
3.2327777777777778,0.0
3.2875,1.143
3.3430555555555554,0.42
3.397777777777778,0.769
3.4525,1.04
3.506388888888889,0.083
3.56,0.031
3.618888888888889,0.032
3.6797222222222223,0.305
3.7402777777777776,0.412
3.793888888888889,0.343
3.8475,0.05
3.901388888888889,0.504
3.955277777777778,0.212
4.01,0.0
4.064444444444445,0.69
4.12,0.484
4.175,0.0
4.23,0.0
4.283888888888889,0.015
4.338611111111111,0.64
4.392777777777778,0.0
4.446666666666666,0.008
4.500277777777778,0.188
4.554166666666666,0.296
4.608055555555556,0.179
4.661111111111111,0.087
4.7155555555555555,0.025
4.769166666666667,0.007
4.823888888888889,0.077
4.877777777777778,0.238
4.932222222222222,0.0
4.986111111111111,0.0
5.040555555555556,0.648
5.094722222222222,0.031
5.148888888888889,0.088
5.204166666666667,0.336
5.2588888888888885,0.0
5.312777777777778,0.391
5.366666666666666,0.453
5.421388888888889,0.23
